	Unnamed: 0	idx	path	token	sentence	context	predicted_labels	classifier_confidence
0	5835	868992	3.0/1980/03/21/das-neue-buch-des-nobelp.xml	erzähler	„Das Schicksal, das heute dem Jiddischen widerfährt, könnte morgen das Schicksal der Kunst schlechthin sein; deshalb halte ich es für kein Unglück, ein Gespenst zu sein.“ Dem jiddischen Schriftsteller ist es noch vergönnt, ein Erzähler zu sein.	['Doch das Jiddische, das Singer 1965 in einem Interview als eine„tote“, dem langsamen Tode geweihte „Sprache“ bezeichnet hat, ist des Alltags warmer und vertrauter Dialekt, der zwar aus den Ruinen spricht, dabei aber mit ungebrochener Liebe zum Leben an eine Bedeutungsfülle erinnert, die durch keine Gewalt zerstört werden kann.', 'Der jiddische Schriftsteller, hat Singer gesagt, ist ein „Dibbuk“, ein Gespenst, dessen Versteck zwischen den Trümmern zu suchen ist, einer, der sieht, ohne gesehen zu werden.', '„Das Schicksal, das heute dem Jiddischen widerfährt, könnte morgen das Schicksal der Kunst schlechthin sein; deshalb halte ich es für kein Unglück, ein Gespenst zu sein.“ Dem jiddischen Schriftsteller ist es noch vergönnt, ein Erzähler zu sein.', 'Er vermag jenem Schicksal der zeitgenössischen Literatur zu entgehen, das Rilke im „Malte“ nur zu deutlich umrissen hatte: „Daß man erzählt, wirklich erzählt, das muß vor meiner Zeit gewesen sein.', 'Ich habe niemanden erzählen hören.“ Mit dem Erzähler verschwindet die chorartige Stimme eines Vermächtnisses kollektiver Erfahrungen; der Abschied des Erzählers steht für das Ende der Epik, für die Unmöglichkeit, Weisheit zu vermitteln und beispielhafte Geschichten zu überliefern, welche den Alltag vor der Banalität und die Vergangenheit vor der Vergessenheit bewahren.']	non-fic	0.9983882904052734
1	1862	348287	3.0/1996/01/05/Die_Maus_am_Spiess.xml.xml	erzähler	"Aber die frostige Atmosphäre, in der Frauen und Männer hier einander beargwöhnen und bekämpfen, läßt einige der Geschichten in ""Der Grund der Dinge"" kriegerisch aussehen: Der Autor ist mehr Frontberichterstatter als Erzähler."	"['Und noch etwas sehr Eigenartiges hat er gemacht: Er ist, wenn die Ferien kamen, statt ans Meer als Reporter in den Krieg gezogen, nach Vietnam, Nordirland, Mosambik, Lateinamerika.', 'Der Krieg findet sich nirgendwo in seinen Erzählungen als Sujet.', 'Aber die frostige Atmosphäre, in der Frauen und Männer hier einander beargwöhnen und bekämpfen, läßt einige der Geschichten in ""Der Grund der Dinge"" kriegerisch aussehen: Der Autor ist mehr Frontberichterstatter als Erzähler.', 'Monzó präsentiert seine Erzählungen gern als surreale Travestien des modernen Alltagslebens in der Großstadt, ohne eine Spur von Beziehungspsychologie.', 'Dazu sind sie zu kurz, ist ihr Ton viel zu unterkühlt.']"	non-fic	0.9984511137008667
2	5416	850053	3.0/1953/04/02/kurz-und-gut.xml.xml	erzählern	Von diesen Volkserzählern zur modernen irischen Novelle ist ein fließender Übergang: Unter den zwanzig Erzählern, von denen hier Proben ihre Kunst gesammelt sind, befinden sich so große Namen wie William Butler Yeats und James Joyce, Liam O’Flaherty und Sean O’Faolain, aber auch bei uns ganz unbekannte, die uns zum ersten Male vorgestellt werden.	['Zu ihnen gehören außer den Griechen auch die Iren.', 'Noch heute sammeln sich in den irischen Dörfern abends die Leute, um einem der vielen wandernden „Story-teller“ zuzuhören.', 'Von diesen Volkserzählern zur modernen irischen Novelle ist ein fließender Übergang: Unter den zwanzig Erzählern, von denen hier Proben ihre Kunst gesammelt sind, befinden sich so große Namen wie William Butler Yeats und James Joyce, Liam O’Flaherty und Sean O’Faolain, aber auch bei uns ganz unbekannte, die uns zum ersten Male vorgestellt werden.', 'Gemeinsam ist ihnen allen der Sinn für den Schabernack, den Schicksal und Zufallmit dem Menschen treiben und für die heitere Verbissenheit, in der er sich gegen das Unabwendbare behauptet i. h.']	non-fic	0.9984373450279236
3	705	189143	3.0/1994/10/07/erfundene-wirklichkeit.x.xml	erzähler	Der als Erzähler nicht ganz unbekannte Uwe Johnson schließt für „Jahrestage“ einen Vertrag mit einer seiner Hauptfiguren, der aus früheren Werken vertrauten Gesine: In ihrem Auftrag schreibt Johnson, nach ihren Vorgaben zeichnet er auf: „das Bewußtsein des Tages“.	['August 1968 geführte Epos „Jahrestage“ – Johnson vermeidet bewußt den Gattungsbegriff „Roman“ –, wird keineswegs von ihm, sondern von Gesine Cresspahl erzählt.', 'Wenn man sich auf diese Fiktion, das ernste Spiel eines Tauschs zwischen erlebendem und erzählendem „Ich“ nicht einläßt, kann man das Buch gar nicht verstehen, ja nicht einmal „richtig“ lesen.', 'Der als Erzähler nicht ganz unbekannte Uwe Johnson schließt für „Jahrestage“ einen Vertrag mit einer seiner Hauptfiguren, der aus früheren Werken vertrauten Gesine: In ihrem Auftrag schreibt Johnson, nach ihren Vorgaben zeichnet er auf: „das Bewußtsein des Tages“.', 'Damit hat Johnson den allwissenden Erzähler, den raunenden Märchen-Onkel der alten Roman-Tradition, aufs Altenteil geschickt; woher soll nun aber die in New York arbeitende und dort „Dschi-sain“ genannte Bankangestellte Gesine aus Mecklenburg all das wissen, was in dem Buch erzählt wird?', 'Johnsons Erzählung hat ja nicht/nur das eine Erlebnis-Zentrum New York des Jahres 1967/68, sondern auch das Erinnerungs-Zentrum Mecklenburg, also deutsche Provinz der Jahre 1918 bis 1953: Kaiserreich, Weimarer Republik, Nazi-Diktatur, Sowjetisch Besetzte Zone, DDR.']	non-fic	0.9984095692634583
4	3116	409524	3.0/1997/12/05/D-Day_1347_Die_Invasion_.xml	erzähler	Deren Inhalte und die unbeschwerte Heiterkeit der Erzähler stehen in groteskem Gegensatz zu Boccaccios einleitender Schilderung über das gleichzeitige Wüten der Pest in der Stadt.	"['In seinem um 1350 entstandenen ""Decamerone"" beschreibt Boccaccio das idyllische Leben von sieben ""holden"" Damen und drei Herren der städtischen Jeunesse dorée, die in der Sicherheit eines einsamen Landsitzes das Ende der Pest in Florenz abwarten.', 'Um sich die Zeit zu vertreiben, erzählen sie sich Geschichten.', 'Deren Inhalte und die unbeschwerte Heiterkeit der Erzähler stehen in groteskem Gegensatz zu Boccaccios einleitender Schilderung über das gleichzeitige Wüten der Pest in der Stadt.', 'Er beschreibt das Elend der Sterbenden, die von allen verlassen sind, das Einsammeln der Leichen, die möglichst schnell und ohne Riten in hastig ausgeworfene Massengräber geworfen werden, das Verhalten der noch Gesunden zwischen den Extremen von Askese und Lebensgier und das Ende aller Ordnung: ""Im Angesicht solcher Not und solchen Elends brach aller Respekt vor den Gesetzen Gottes und der Menschen in unserer Stadt zusammen.', '(...) Jeder tat, was er wollte.""']"	non-fic	0.997008740901947
5	1723	341566	3.0/1974/05/03/bodenproben-aus-der-ddr..xml	erzähler	Die neue Anthologie „Erzähler aus der DDR“ behauptet sich in der Reihe bereits vorliegender vergleichbarer Sammlungen (zum Beispiel von Marcel Reich-Ranicki oder von Hans-Jürgen Schmitt) durch ihr Ziel: Franke/Langenbucher wollen weniger die erreichten Ergebnisse als vielmehr Tendenzen zeigen, wollen weniger Inventur machen, als vielmehr Versuche hervorheben.	['Von den erzählerischen Taten dieses Nachwuchses vermitteln Konrad Franke und Wolfgang R. Langenbucher weitere Kunde.', 'Franke hat 1971 auf über 600 Seiten „Die Literatur der DDR“ vorgestellt und diskutiert, ein Buch, das neben den Arbeiten von Werner Brettschneider, Hans Jürgen Geerdts, Fritz J. Raddatz, Hans-Dietrich Sander informiert.', 'Die neue Anthologie „Erzähler aus der DDR“ behauptet sich in der Reihe bereits vorliegender vergleichbarer Sammlungen (zum Beispiel von Marcel Reich-Ranicki oder von Hans-Jürgen Schmitt) durch ihr Ziel: Franke/Langenbucher wollen weniger die erreichten Ergebnisse als vielmehr Tendenzen zeigen, wollen weniger Inventur machen, als vielmehr Versuche hervorheben.', 'Der geförderte Erzählertyp der DDR ist volkstümlich, parteilich, optimistisch; Literatur ist ein gesellschaftlicher Wirkungsfaktor, der sich auf die Praxis zu beziehen hat.', 'Rund die Hälfte der fünfunddreißig Autoren des Bandes ist jünger als vierzig; unter ihnen trabt noch manches Schwarze Pferd.']	non-fic	0.9984647035598755
6	7738	1157451	3.0/2005/10/13/M-Kremer_2fBach.xml.xml	erzählers	Es gibt immer wieder Sätze, in denen die Sehnsucht nach großem Horizont und intensiver Szene, das virtuose Heldentum oder der Tonfall des Erzählers sich ohne weiteres mit Bach treffen.	['Oder er verfehlt vor Anstrengung die lyrische Weite im allerersten Satz des Zyklus.', 'Andererseits kann Kremers Rechte aber Akkorde zu orchestral leuchtenden Schlägen vergrößern, und demg-Moll-Presto       tut es gut, dass des Geigers Bogen viele Skalenanfänge geradezu herausbeißt oder zwischendurch einfach schneller wird.', 'Es gibt immer wieder Sätze, in denen die Sehnsucht nach großem Horizont und intensiver Szene, das virtuose Heldentum oder der Tonfall des Erzählers sich ohne weiteres mit Bach treffen.', 'In der       E-Dur-Partita       sind das fast alle.', 'Das Preludio ist so beschwingt, so reich inszeniert, dass Kremers frühere Aufnahme trotz ähnlicher Konzeption dagegen eindimensional wirkt.']	non-fic	0.9979890584945679
7	1521	331104	3.0/1962/09/21/kein-held-und-auch-kein-.xml	erzähler	Ein kluger, nobler Erzähler, der weiß, welche Kraft in der Verhaltenheit liegt.	['Etwa wenn er von einem jungen Mädchen sagt: „Sie suchte zwar gern die Nähe fragwürdiger Abenteuer, hielt sich dann aber gerade so weit zurück, daß sie das angenehme Gefühl verspürte, sie selbst zu sein...“ Oder von einem Parteioberen: „Wenn Heiland keine Brille trug, zeigte sein Gesicht das glatte, leergefegte Trümmerfeld einer kaum überwundenen, nervösen Anstrengung; er setzte sie wieder auf, und zurück blieb nur der kostspielige Sieg einer Idee.“ Oder ganz einfach die Wendung „Ohnmachtsglück“.', 'Dieser Autor schreibt eine Prosa, die nie über ihre Verhältnisse lebt.', 'Ein kluger, nobler Erzähler, der weiß, welche Kraft in der Verhaltenheit liegt.', 'Und nicht zuletzt: ein in hohem Maße zeitgerechter und dabei – auch das sollte man nicht übersehen – lesbarer Roman.']	non-fic	0.9983987212181091
8	5362	847874	3.0/1953/07/30/funk-fuer-anspruchsvolle.xml	erzähler	Heinrich Böll, der viel genannte, beachtenswerte Erzähler, hat einen Stoff aus unseren Tagen – ein abgesunkener Mann beschließt, sich von seiner Familie zu trennen, wird aber durch ein zufälliges Zusammentreffen mit seiner Frau umgestimmt – nicht nur in seinem Roman „Und sagten kein einziges Wort“, sondern auch in dem Hörspiel „Ich begegne meiner Frau“ behandelt, das nun in der Inszenierung Fritz Schröder-Jahns neues Interesse für den Roman erwecken könnte.	['Juli, 20.35, mit dem Städtekampf Berlin – Paris der Amateurboxer im Berliner Sportpalast, und am Sonntag, 2.', 'August, 15.00, mit dem Internationalen Stadionfest im Olympiastadion.', 'Heinrich Böll, der viel genannte, beachtenswerte Erzähler, hat einen Stoff aus unseren Tagen – ein abgesunkener Mann beschließt, sich von seiner Familie zu trennen, wird aber durch ein zufälliges Zusammentreffen mit seiner Frau umgestimmt – nicht nur in seinem Roman „Und sagten kein einziges Wort“, sondern auch in dem Hörspiel „Ich begegne meiner Frau“ behandelt, das nun in der Inszenierung Fritz Schröder-Jahns neues Interesse für den Roman erwecken könnte.', '22.30 ans Stuttgart: Der Dichter Alfred Döblin, der einst „Berlin Alexanderplatz“ schrieb, empfängt zu seinem 75.', 'Geburtstag wenig öffentliche Ehren.']	non-fic	0.9984447360038757
9	270	17733	3.0/1989/08/18/achtung-achtung-neue-kue.xml	erzählers	Und wer weiß, ob nicht Walter Benjamin in seiner Theorie des Erzählers (die ja eine Theorie zum Ende des bürgerlich-privatistisch-individualistischen Roman-Kunstwerks ist) eigentlich an den Rundfunk gedacht hat.	['Es ist zum Lyrischwerden, und da wird er auch lyrisch manchmal.“ Strömen hin, streuen her – die Idee vom neuen Erzählen vor dem Mikrophon erfährt von kompetenter Seite Zuspruch.', 'Döblin zum Beispiel tritt 1929 mit der These an, daß im Rundfunk die Schriftsteller sich endlich von der toten Drucktype und der daraus folgenden „Anämie und Vertrocknung der Sprache“ befreien könnten.', 'Und wer weiß, ob nicht Walter Benjamin in seiner Theorie des Erzählers (die ja eine Theorie zum Ende des bürgerlich-privatistisch-individualistischen Roman-Kunstwerks ist) eigentlich an den Rundfunk gedacht hat.', 'Aber der war 1937 in der Hand der Nazis.', 'Ans Ende der Kunst im technischen Zeitalter oder an eine Funktion des Radios jenseits des alten Kunstbegriffs wollte gerade im Rundfunk niemand gerne denken.']	non-fic	0.9984574317932129
